cid,text,time,author,channel,votes,photo,heart,replies_count,video_id,video_title,video_published_at
UgxKK36WbaYe-HwOTbt4AaABAg,исландский мох 🤢 но с кашлем борется отлично!,2024-08-07T20:33:43Z,@YoAniaYeah,UCXw34d-auHFGxUasX0agyCw,0,https://yt3.ggpht.com/ytc/AIdro_lui9XZWJ-nP0XZXPFqXh7eD0RB7ptZ3TaBEr4U6EBvndw=s48-c-k-c0x00ffffff-no-rj,False,0,62m-rjOgfNE,Как избавиться от КАШЛЯ? Без вреда и побочных эффектов #докторлиза #nikolife,2024-08-07T14:30:02Z
Ugwc7B4e-P78-bxJOwF4AaABAg,Огневка 😍,2024-08-07T16:43:54Z,@nikolife_soul,UCETavPymqO45DF7iyeIAlCA,0,https://yt3.ggpht.com/ZiwR9XUJQr29y-u-2aqDj81zjgAuXbXMEVr0vAm7Ntxuni5plQt0F07imGWtmfXcPOQMgHhdoQ=s48-c-k-c0x00ffffff-no-rj,False,0,62m-rjOgfNE,Как избавиться от КАШЛЯ? Без вреда и побочных эффектов #докторлиза #nikolife,2024-08-07T14:30:02Z
Ugx60hgJQ9uuTUK4Te54AaABAg,Редька с медом вкус детства 🤤🫶🏼,2024-08-07T14:49:26Z,@АннаХаблова-я6и,UCE_JyP2QpxMIa8ec8PcQOuA,0,https://yt3.ggpht.com/ytc/AIdro_nt5I3z1jYCvKqMdDjTdlPDXKigd4iygJ8-8B3Xiw4=s48-c-k-c0x00ffffff-no-rj,False,0,62m-rjOgfNE,Как избавиться от КАШЛЯ? Без вреда и побочных эффектов #докторлиза #nikolife,2024-08-07T14:30:02Z
UgxX14MkBFnl35ymAsN4AaABAg,коротко и полезно!спасибо,2024-08-07T14:47:19Z,@Jany_Radha_Ramana,UCGhbeWJhQTrG3klbjcZg-cw,0,https://yt3.ggpht.com/qB7MVZYP65veCzPyx1T8bCPzE5gy4YDG6I1LGuQJA24GpdJ9A9pMVXDr2SMaUGPmeZBryOsUIA=s48-c-k-c0x00ffffff-no-rj,False,0,62m-rjOgfNE,Как избавиться от КАШЛЯ? Без вреда и побочных эффектов #докторлиза #nikolife,2024-08-07T14:30:02Z
UgyryOvF2AecBls3Vhx4AaABAg,"Ой а я даже и не знала, что такое бывает 😢",2024-08-05T17:07:35Z,@nikolife_nutrition,UCmefq5JW-K3Nt1gMsAkpysA,0,https://yt3.ggpht.com/jiysXBdI3R9YTep_WDiDdfKWguXUxa8F7kbCSDa8ZbFzVsJvPJpHqIsAkb07lpugExrVIZnezA=s48-c-k-c0x00ffffff-no-rj,False,0,julsSisXVjk,Зуд и СЫПЬ ПОСЛЕ КУПАНИЯ? Взгляд от #докторлиза #nikolife,2024-08-05T14:30:17Z
UgyARHKF8Li7wKodr9t4AaABAg,вву🎉,2024-08-05T16:55:53Z,@Jany_Radha_Ramana,UCGhbeWJhQTrG3klbjcZg-cw,0,https://yt3.ggpht.com/qB7MVZYP65veCzPyx1T8bCPzE5gy4YDG6I1LGuQJA24GpdJ9A9pMVXDr2SMaUGPmeZBryOsUIA=s48-c-k-c0x00ffffff-no-rj,False,0,julsSisXVjk,Зуд и СЫПЬ ПОСЛЕ КУПАНИЯ? Взгляд от #докторлиза #nikolife,2024-08-05T14:30:17Z
UgwXHswlNCWYhQkmNVJ4AaABAg,С трудом могу заставить себя залезть в пруд/озеро для купания🤪 вот и хорошо),2024-08-05T16:52:31Z,@Ольга-ш3у5о,UCzkcyw-FlspC4Ksn8hQpkzA,0,https://yt3.ggpht.com/BKv1u4seTQoveAjfyQUbq0skyRDQqhvrl_cbSWVVhS7zOKtJONOrZNdj-10IakSEEotZ8yQp=s48-c-k-c0x00ffffff-no-rj,False,0,julsSisXVjk,Зуд и СЫПЬ ПОСЛЕ КУПАНИЯ? Взгляд от #докторлиза #nikolife,2024-08-05T14:30:17Z
UgziMqOVVpsF7WFxISl4AaABAg,"Полезно) очень любим Нарочь в Беларуси, но только смотрим, так как купаться нежелательно",2024-08-05T16:50:52Z,@КсенияНарчук,UCPRs0PNcgAWedBMt2BdoLMA,0,https://yt3.ggpht.com/ytc/AIdro_m26DoBrFevEtPD2h7hf-a7Er2umdlsUStHx1-1NoDvmwejotONRP4CZUmOOvKHycWq9aA=s48-c-k-c0x00ffffff-no-rj,False,0,julsSisXVjk,Зуд и СЫПЬ ПОСЛЕ КУПАНИЯ? Взгляд от #докторлиза #nikolife,2024-08-05T14:30:17Z
UgzyhQ2spajMt6ur6vd4AaABAg,👏👏👏👏👏👏,2024-08-05T16:13:18Z,@gomeopat_lipkanskaya,UCAmlSEoWXUS4gPgsA9Xz6tA,0,https://yt3.ggpht.com/rju4UFXQIi289WKYdSlWB5jb4ZP3_Ygz82F7azRZrhGd5hFGG2EIe9n8ONmgzuRhHNsVMDgBtA=s48-c-k-c0x00ffffff-no-rj,False,0,julsSisXVjk,Зуд и СЫПЬ ПОСЛЕ КУПАНИЯ? Взгляд от #докторлиза #nikolife,2024-08-05T14:30:17Z
UgxAg-N3R_mSBFrLkZF4AaABAg,как раз полезно перед отпуском!,2024-08-05T15:48:58Z,@nikolife_soul,UCETavPymqO45DF7iyeIAlCA,0,https://yt3.ggpht.com/ZiwR9XUJQr29y-u-2aqDj81zjgAuXbXMEVr0vAm7Ntxuni5plQt0F07imGWtmfXcPOQMgHhdoQ=s48-c-k-c0x00ffffff-no-rj,False,0,julsSisXVjk,Зуд и СЫПЬ ПОСЛЕ КУПАНИЯ? Взгляд от #докторлиза #nikolife,2024-08-05T14:30:17Z
